1.824303150177001953e+00,1.732621431350708008e+00,1.698782563209533691e+00,1.654917240142822266e+00,1.624170422554016113e+00,1.597572803497314453e+00,1.568495988845825195e+00,1.562074780464172363e+00,1.548081517219543457e+00,1.544516205787658691e+00
3.543439865112304688e+00,3.321032524108886719e+00,2.927475214004516602e+00,2.801604032516479492e+00,2.680286407470703125e+00,2.525942564010620117e+00,2.450320720672607422e+00,2.319977045059204102e+00,2.297614574432373047e+00,2.272993803024291992e+00
3.716343402862548828e+00,3.444074392318725586e+00,3.049859046936035156e+00,2.525235652923583984e+00,2.413316249847412109e+00,2.113057851791381836e+00,2.085755825042724609e+00,1.994894266128540039e+00,1.987478613853454590e+00,1.894327640533447266e+00
7.530855178833007812e+00,6.045021533966064453e+00,4.243272781372070312e+00,3.865177631378173828e+00,3.094838619232177734e+00,2.855091333389282227e+00,2.343588113784790039e+00,2.554059982299804688e+00,2.566420793533325195e+00,2.286153793334960938e+00
1.106808471679687500e+01,8.924100875854492188e+00,7.916245937347412109e+00,5.121379375457763672e+00,5.082552433013916016e+00,4.538791656494140625e+00,4.570559024810791016e+00,3.909261941909790039e+00,3.275476694107055664e+00,3.179620742797851562e+00
1.616922760009765625e+01,1.624637031555175781e+01,1.247491455078125000e+01,9.119803428649902344e+00,8.489457130432128906e+00,7.196877479553222656e+00,6.061994552612304688e+00,5.358817577362060547e+00,5.294070243835449219e+00,4.138999938964843750e+00
2.198640060424804688e+01,1.871039962768554688e+01,1.548887825012207031e+01,1.274658107757568359e+01,1.134078788757324219e+01,8.800143241882324219e+00,7.937453746795654297e+00,6.963864326477050781e+00,6.097712516784667969e+00,5.638641834259033203e+00
2.900018310546875000e+01,2.325725364685058594e+01,1.499090766906738281e+01,1.638408279418945312e+01,1.427540874481201172e+01,1.099424648284912109e+01,9.333060264587402344e+00,7.654028415679931641e+00,7.618202686309814453e+00,6.480780124664306641e+00
3.792156982421875000e+01,2.961388015747070312e+01,2.390418624877929688e+01,2.045076370239257812e+01,1.550858879089355469e+01,1.407093811035156250e+01,1.358088493347167969e+01,1.082579994201660156e+01,9.532374382019042969e+00,7.986204147338867188e+00
5.142539596557617188e+01,3.543518447875976562e+01,3.219597244262695312e+01,2.716969871520996094e+01,2.319786834716796875e+01,2.060711288452148438e+01,1.802226066589355469e+01,1.484429359436035156e+01,1.282806587219238281e+01,1.141812801361083984e+01
